Frequency Index - Plot 0,Magnitude - Plot 0
0,164
1,0.146074
2,0.900469
3,0.4219
4,0.632086
5,0.371807
6,0.423027
7,0.383525
8,0.205944
9,0.218447
10,0.181805
11,0.0505105
12,0.304125
13,0.227807
14,0.212613
15,0.10035
16,0.128016
17,0.179565
18,0.0609826
19,0.0995887
20,0.103935
21,0.0246944
22,0.0917102
23,0.0394529
24,0.0375456
25,0.104228
26,0.0684397
27,0.0681776
28,0.144457
29,0.0802463
30,0.191468
31,0.157889
32,0.0361312
33,0.176928
34,0.0590434
35,0.0598118
36,0.037241
37,0.0875345
38,0.0785253
39,0.110127
40,0.138143
41,0.116303
42,0.0943488
43,0.046311
44,0.0915329
45,0.149292
46,0.0999427
47,0.0342678
48,0.0746539
49,0.0858533
50,0.0664082
51,0.12315
52,0.0330314
53,0.0857254
54,0.0337296
55,0.0575475
56,0.150575
57,0.157681
58,0.0262126
59,0.091178
60,0.0988386
61,0.0458223
62,0.0590648
63,0.0907099
64,0.0697695
65,0.034729
66,0.0772707
67,0.0792237
68,0.10802
69,0.0738311
70,0.0872608
71,0.0826392
72,0.0543157
73,0.102552
74,0.0480725
75,0.034423
76,0.106703
77,0.0714462
78,0.0813936
79,0.077108
80,0.147321
81,0.0443715
82,0.0807431
83,0.0816427
84,0.114997
85,0.0698492
86,0.0717405
87,0.147936
88,0.0745611
89,0.0202918
90,0.0242822
91,0.0510425
92,0.053499
93,0.0682391
94,0.129077
95,0.0894141
96,0.128544
97,0.151623
98,0.0912917
99,0.0258524
100,0.126666
101,0.0785852
102,0.146565
103,0.0481125
104,0.0369227
105,0.120217
106,0.0924204
107,0.00530056
108,0.0468629
109,0.0405916
110,0.0653063
111,0.0701186
112,0.0425499
113,0.0522727
114,0.0984407
115,0.0616821
116,0.0464553
117,0.321628
118,0.0153994
119,0.121262
120,0.0313652
121,0.040085
122,0.102015
123,0.0405068
124,0.0778081
125,0.0405134
126,0.157647
127,0.0500669
128,0.0168437
129,0.138339
130,0.0459378
131,0.0111662
132,0.021837
133,0.107864
134,0.0380656
135,0.0836099
136,0.107229
137,0.0865745
138,0.141884
139,0.0488318
140,0.0563642
141,0.111507
142,0.0342647
143,0.0342306
144,0.0812642
145,0.0879865
146,0.112195
147,0.0100956
148,0.0689832
149,0.114584
150,0.092571
151,0.0715231
152,0.0130185
153,0.0202291
154,0.0378143
155,0.0933783
156,0.0606459
157,0.0886015
158,0.0719483
159,0.0295864
160,0.10991
161,0.0772805
162,0.0584886
163,0.098556
164,0.0334048
165,0.0664177
166,0.0882422
167,0.0925861
168,0.0198694
169,0.104229
170,0.121062
171,0.117573
172,0.0721649
173,0.0422027
174,0.278234
175,0.0212988
176,0.0339067
177,0.0524153
178,0.110511
179,0.0888111
180,0.0347665
181,0.102437
182,0.0630094
183,0.0644863
184,0.0454541
185,0.0689477
186,0.101667
187,0.0523706
188,0.0502133
189,0.172209
190,0.0914341
191,0.0689967
192,0.0851082
193,0.105073
194,0.0650115
195,0.0372007
196,0.0524888
197,0.0600026
198,0.0270993
199,0.125158
200,0.142658
201,0.0863355
202,0.00789232
203,0.0471102
204,0.0910072
205,0.0597976
206,0.111873
207,0.0847141
208,0.130889
209,0.0508561
210,0.0770903
211,0.104549
212,0.0154739
213,0.0865244
214,0.0650329
215,0.0512414
216,0.0958856
217,0.0824052
218,0.146376
219,0.0806252
220,0.0529787
221,0.0945143
222,0.0849422
223,0.07193
224,0.120749
225,0.0792742
226,0.178678
227,0.114801
228,0.101704
229,0.0531552
230,0.0886985
231,0.0653401
232,0.0985188
233,0.102497
234,0.12057
235,0.067462
236,0.0591788
237,0.0893782
238,0.0308408
239,0.12874
240,0.169686
241,0.144513
242,0.0646525
243,0.0435097
244,0.118623
245,0.0835845
246,0.0588468
247,0.0702293
248,0.102671
249,0.0424766
250,0.0811277
251,0.0173433
252,0.0415909
253,0.0790264
254,0.0808934
255,0.018204
256,0.0592719
257,0.0240928
258,0.141103
259,0.0979662
260,0.039049
261,0.0742552
262,0.079925
263,0.0351413
264,0.0766741
265,0.0778843
266,0.133918
267,0.100891
268,0.0950015
269,0.0278045
270,0.0538759
271,0.0541229
272,0.0374548
273,0.0818745
274,0.0896902
275,0.0986007
276,0.100289
277,0.142794
278,0.0623973
279,0.151607
280,0.0867718
281,0.0624212
282,0.0589591
283,0.0394166
284,0.11706
285,0.0166007
286,0.0562374
287,0.0693776
288,0.0268578
289,0.106436
290,0.047425
291,0.0994621
292,0.126583
293,0.0416444
294,0.0399734
295,0.0893041
296,0.0228259
297,0.157041
298,0.0299211
299,0.129647
300,0.153556
301,0.06815
302,0.0642096
303,0.0946075
304,0.125435
305,0.104129
306,0.0607665
307,0.0364255
308,0.0424365
309,0.059546
310,0.0376882
311,0.222383
312,0.121723
313,0.0423351
314,0.0472371
315,0.179695
316,0.0729838
317,0.0475518
318,0.134464
319,0.0182246
320,0.0762063
321,0.176643
322,0.145583
323,0.0589452
324,0.0318136
325,0.071171
326,0.0348827
327,0.0877823
328,0.136147
329,0.0855957
330,0.0613591
331,0.0724468
332,0.0336226
333,0.0240126
334,0.0372918
335,0.0938627
336,0.0513879
337,0.0707678
338,0.118551
339,0.0589962
340,0.0773089
341,0.0823435
342,0.0147396
343,0.0507643
344,0.0751404
345,0.0430551
346,0.0642173
347,0.0843807
348,0.0306417
349,0.0691414
350,0.0985766
351,0.101616
352,0.142667
353,0.0158531
354,0.0552351
355,0.0724181
356,0.0697993
357,0.181086
358,0.0301409
359,0.0258089
360,0.084019
361,0.0391285
362,0.0299343
363,0.0572054
364,0.075099
365,0.0829082
366,0.0422022
367,0.12193
368,0.116332
369,0.0606464
370,0.0982827
371,0.211342
372,0.0353302
373,0.0636481
374,0.117886
375,0.0436322
376,0.046599
377,0.0230457
378,0.0929672
379,0.106123
380,0.00496092
381,0.0602367
382,0.095544
383,0.060265
384,0.0671295
385,0.0895558
386,0.0319007
387,0.0366175
388,0.0692856
389,0.0769233
390,0.0443503
391,0.05414
392,0.145292
393,0.0186402
394,0.0323742
395,0.0564538
396,0.112099
397,0.0937411
398,0.103571
399,0.0813229
400,0.055376
401,0.0608948
402,0.0525395
403,0.0286836
404,0.091904
405,0.159294
406,0.0918611
407,0.0805743
408,0.0927764
409,0.0163082
410,0.0976137
411,0.0653782
412,0.0580505
413,0.133042
414,0.0367445
415,0.0590141
416,0.0183167
417,0.136938
418,0.0426241
419,0.0859784
420,0.164792
421,0.0753217
422,0.0891578
423,0.0505803
424,0.013105
425,0.0552227
426,0.0410151
427,0.0227851
428,0.0270583
429,0.131356
430,0.125252
431,0.044429
432,0.124125
433,0.153582
434,0.0694091
435,0.07581
436,0.0127519
437,0.115784
438,0.0719544
439,0.0469124
440,0.077969
441,0.10329
442,0.15747
443,0.0518962
444,0.1802
445,0.10995
446,0.0361068
447,0.0354993
448,0.0879684
449,0.0590729
450,0.0211495
451,0.0372585
452,0.0507754
453,0.0569552
454,0.0923362
455,0.0981433
456,0.0321513
457,0.0545749
458,0.104432
459,0.0779114
460,0.0913981
461,0.101171
462,0.0825609
463,0.0103839
464,0.0712281
465,0.0424961
466,0.0828219
467,0.0708351
468,0.0310082
469,0.0711413
470,0.110475
471,0.0783844
472,0.0621218
473,0.0669791
474,0.0137921
475,0.174145
476,0.0688895
477,0.153106
478,0.060448
479,0.134666
480,0.136405
481,0.0744724
482,0.0799969
483,0.0191568
484,0.0520673
485,0.0653839
486,0.132768
487,0.145513
488,0.0293991
489,0.131354
490,0.115894
491,0.0520586
492,0.0663133
493,0.0114357
494,0.13464
495,0.0528258
496,0.111128
497,0.137088
498,0.107715
499,0.0960098
500,0.242876
501,0.0204586
502,0.107351
503,0.22148
504,0.0385126
505,0.0953867
506,0.0152906
507,0.0718585
508,0.0477919
509,0.113477
510,0.0834855
511,0.124417
512,0.0687895
513,0.0679182
514,0.0999508
515,0.0887049
516,0.0861737
517,0.0663841
518,0.0934155
519,0.077017
520,0.111657
521,0.0463214
522,0.0696325
523,0.0562545
524,0.0227326
525,0.103433
526,0.154544
527,0.0736109
528,0.12576
529,0.0161394
530,0.121507
531,0.099254
532,0.145715
533,0.092946
534,0.267204
535,0.0445894
536,0.0807492
537,0.094252
538,0.128502
539,0.129529
540,0.0628764
541,0.105463
542,0.120981
543,0.0681815
544,0.134821
545,0.133321
546,0.110102
547,0.0706852
548,0.0515057
549,0.0456429
550,0.0742334
551,0.0747059
552,0.073439
553,0.122271
554,0.0715314
555,0.0323141
556,0.0828074
557,0.148096
558,0.113733
559,0.123726
560,0.121589
561,0.0861261
562,0.120624
563,0.0760825
564,0.0985266
565,0.138642
566,0.144951
567,0.0657812
568,0.16547
569,0.144481
570,0.0563946
571,0.121106
572,0.0302201
573,0.0733031
574,0.11148
575,0.0679468
576,0.0950425
577,0.0998464
578,0.0302923
579,0.0961617
580,0.0650806
581,0.0723027
582,0.17851
583,0.100881
584,0.0756344
585,0.064597
586,0.0947304
587,0.0941064
588,0.0943313
589,0.0261614
590,0.14572
591,0.0576999
592,0.14358
593,0.137683
594,0.133752
595,0.0937281
596,0.0481099
597,0.0511807
598,0.0236669
599,0.107381
600,0.0796634
601,0.0375979
602,0.0758422
603,0.12616
604,0.0870638
605,0.197297
606,0.0390594
607,0.109456
608,0.115255
609,0.0475556
610,0.0791183
611,0.102445
612,0.127953
613,0.154195
614,0.0692946
615,0.0161797
616,0.047843
617,0.0605646
618,0.0342718
619,0.114598
620,0.133411
621,0.0860076
622,0.0826016
623,0.18169
624,0.112199
625,0.104947
626,0.0805992
627,0.0738437
628,0.0644532
629,0.0705017
