Frequency Index - Plot 0,Magnitude - Plot 0
0,158.016
1,0.293279
2,0.530286
3,0.361723
4,0.880144
5,0.439111
6,0.0951427
7,0.319948
8,0.196784
9,0.133747
10,0.0551719
11,0.265609
12,0.0185349
13,0.18648
14,0.26029
15,0.202509
16,0.108211
17,0.081359
18,0.210938
19,0.138914
20,0.0258214
21,0.116218
22,0.287062
23,0.0949067
24,0.0351097
25,0.155877
26,0.222138
27,0.113983
28,0.184926
29,0.145828
30,0.167037
31,0.0410201
32,0.0973507
33,0.122504
34,0.0309551
35,0.0744658
36,0.0442593
37,0.0418998
38,0.229393
39,0.0591107
40,0.0812586
41,0.106339
42,0.0785278
43,0.179058
44,0.0667603
45,0.162442
46,0.0298404
47,0.0463027
48,0.0925918
49,0.0935298
50,0.0448184
51,0.0708997
52,0.0723834
53,0.0394341
54,0.0745838
55,0.117819
56,0.0749948
57,0.263439
58,0.166722
59,0.0689822
60,0.102431
61,0.0511992
62,0.129667
63,0.0583705
64,0.033081
65,0.0650821
66,0.105
67,0.0361431
68,0.0606248
69,0.0398126
70,0.0797642
71,0.0294226
72,0.138326
73,0.155811
74,0.0942192
75,0.16512
76,0.0257718
77,0.0421688
78,0.0768617
79,0.0288247
80,0.0955436
81,0.0411637
82,0.142949
83,0.0179262
84,0.0802259
85,0.0332428
86,0.0712359
87,0.0473016
88,0.0631253
89,0.0286913
90,0.0726088
91,0.0776954
92,0.061813
93,0.0873168
94,0.110017
95,0.116726
96,0.122178
97,0.0329144
98,0.0910006
99,0.0347814
100,0.197853
101,0.074503
102,0.19414
103,0.0218753
104,0.0459328
105,0.0521953
106,0.0493348
107,0.0801422
108,0.0163983
109,0.0592408
110,0.0692127
111,0.0706036
112,0.0675937
113,0.0747532
114,0.0323793
115,0.0912532
116,0.0706222
117,0.157132
118,0.1026
119,0.0222134
120,0.116269
121,0.0824839
122,0.0499623
123,0.037963
124,0.11324
125,0.0376316
126,0.0542616
127,0.0260697
128,0.056863
129,0.17618
130,0.128585
131,0.136345
132,0.0971907
133,0.12806
134,0.119854
135,0.0494783
136,0.177204
137,0.0796901
138,0.0402834
139,0.101335
140,0.0353126
141,0.0223058
142,0.0253155
143,0.0417138
144,0.0236202
145,0.0108035
146,0.0508478
147,0.0522298
148,0.115485
149,0.0200147
150,0.124208
151,0.0604969
152,0.0727563
153,0.0785727
154,0.103593
155,0.0806916
156,0.139962
157,0.109573
158,0.0208213
159,0.048919
160,0.0906979
161,0.0354517
162,0.020816
163,0.0823929
164,0.112327
165,0.0975686
166,0.0376572
167,0.0746643
168,0.0232864
169,0.0882568
170,0.126787
171,0.0408403
172,0.113944
173,0.0758419
174,0.285665
175,0.0256275
176,0.0860759
177,0.105315
178,0.0499011
179,0.0855786
180,0.106351
181,0.117628
182,0.0611337
183,0.0571293
184,0.0563735
185,0.134482
186,0.0708484
187,0.0960498
188,0.0806566
189,0.066307
190,0.0761612
191,0.0849162
192,0.083597
193,0.106955
194,0.128039
195,0.114653
196,0.0894874
197,0.00739036
198,0.0655867
199,0.126297
200,0.145627
201,0.251772
202,0.0391954
203,0.0881425
204,0.0756629
205,0.106577
206,0.0792123
207,0.0537596
208,0.0689885
209,0.0300989
210,0.0127413
211,0.0169792
212,0.0618287
213,0.0570548
214,0.0443596
215,0.0768262
216,0.0848174
217,0.111931
218,0.0185747
219,0.102743
220,0.023379
221,0.0895758
222,0.0350944
223,0.0649908
224,0.173753
225,0.0886131
226,0.114125
227,0.0365976
228,0.0592903
229,0.169234
230,0.0581709
231,0.063274
232,0.0371795
233,0.106614
234,0.0116404
235,0.0447467
236,0.0888434
237,0.0552755
238,0.122498
239,0.0417557
240,0.152355
241,0.139263
242,0.0564457
243,0.0605111
244,0.0375425
245,0.0646731
246,0.109558
247,0.149215
248,0.116199
249,0.0654082
250,0.0933122
251,0.0662386
252,0.063854
253,0.171773
254,0.103326
255,0.117141
256,0.0911053
257,0.110073
258,0.182397
259,0.142467
260,0.08297
261,0.0693667
262,0.125614
263,0.056411
264,0.109593
265,0.0565455
266,0.0474487
267,0.0808673
268,0.0324058
269,0.0410181
270,0.139453
271,0.0805129
272,0.0782326
273,0.147415
274,0.134687
275,0.0381624
276,0.0520915
277,0.0635051
278,0.0722109
279,0.138768
280,0.191163
281,0.0511322
282,0.0570776
283,0.0894363
284,0.190744
285,0.0195787
286,0.129904
287,0.114771
288,0.0905018
289,0.0370745
290,0.0830832
291,0.152181
292,0.0713546
293,0.0120038
294,0.097998
295,0.122753
296,0.0381557
297,0.14766
298,0.139427
299,0.0914558
300,0.412398
301,0.0963914
302,0.0524589
303,0.194473
304,0.1595
305,0.146461
306,0.143403
307,0.0833385
308,0.0854364
309,0.134275
310,0.194818
311,0.125493
312,0.136568
313,0.154504
314,0.16257
315,0.191027
316,0.171104
317,0.223583
318,0.158065
319,0.192218
320,0.042334
321,0.0578386
322,0.245752
323,0.0512266
324,0.182205
325,0.155191
326,0.318236
327,0.19594
328,0.199742
329,0.25807
330,0.29049
331,0.264844
332,0.307646
333,0.232278
334,0.217876
335,0.289236
336,0.305777
337,0.37723
338,0.506707
339,0.651651
340,0.471563
341,0.644926
342,0.688079
343,0.639076
344,1.03443
345,1.20537
346,1.38967
347,2.07115
348,3.11239
349,6.09944
350,801.826
351,6.46987
352,3.19729
353,2.18892
354,1.77573
355,1.31227
356,1.07108
357,1.16017
358,0.729127
359,0.69377
360,0.865605
361,0.583235
362,0.623143
363,0.572544
364,0.566937
365,0.546257
366,0.434902
367,0.656653
368,0.505181
369,0.532975
370,0.419452
371,0.486837
372,0.451478
373,0.475421
374,0.401176
375,0.479482
376,0.377452
377,0.406743
378,0.269718
379,0.301029
380,0.31638
381,0.252198
382,0.26428
383,0.441856
384,0.326698
385,0.267582
386,0.466552
387,0.327619
388,0.376943
389,0.196815
390,0.402589
391,0.260566
392,0.2785
393,0.317553
394,0.44178
395,0.305917
396,0.33071
397,0.126438
398,0.276728
399,0.191563
400,0.343216
401,0.358813
402,0.357313
403,0.356219
404,0.314549
405,0.294297
406,0.364418
407,0.308363
408,0.452585
409,0.466468
410,0.488052
411,0.505753
412,0.393266
413,0.492941
414,0.433314
415,0.443157
416,0.47
417,0.655951
418,0.359489
419,0.454435
420,0.646359
421,0.616644
422,0.570194
423,0.590297
424,0.471735
425,0.513044
426,0.488031
427,0.718314
428,0.780206
429,0.885029
430,0.927599
431,0.898807
432,1.04106
433,1.07531
434,1.38017
435,1.59671
436,2.10669
437,2.58881
438,4.00354
439,7.93108
440,802.076
441,7.98427
442,3.86328
443,2.51218
444,1.89349
445,1.72555
446,1.2598
447,1.21359
448,1.0427
449,0.780683
450,0.74958
451,0.645918
452,0.5689
453,0.580397
454,0.435626
455,0.33262
456,0.354111
457,0.424205
458,0.396703
459,0.31794
460,0.48406
461,0.29435
462,0.39956
463,0.432696
464,0.257563
465,0.0498719
466,0.274146
467,0.209325
468,0.0878041
469,0.223079
470,0.127315
471,0.244108
472,0.165179
473,0.11073
474,0.299457
475,0.183244
476,0.198788
477,0.226199
478,0.229893
479,0.0790425
480,0.160905
481,0.107685
482,0.14139
483,0.161207
484,0.198105
485,0.220511
486,0.0456824
487,0.105053
488,0.0494219
489,0.18059
490,0.119454
491,0.100981
492,0.0437421
493,0.0473932
494,0.164184
495,0.185131
496,0.103217
497,0.123405
498,0.0482838
499,0.166234
500,0.0534118
501,0.0753281
502,0.232936
503,0.16393
504,0.0849537
505,0.120535
506,0.07125
507,0.103667
508,0.164254
509,0.0957947
510,0.123543
511,0.0503429
512,0.202657
513,0.137422
514,0.0673283
515,0.0883752
516,0.0969234
517,0.0877106
518,0.00443594
519,0.097236
520,0.0527213
521,0.109493
522,0.14399
523,0.0487503
524,0.0423225
525,0.134246
526,0.0192435
527,0.0666251
528,0.0289912
529,0.152327
530,0.0296084
531,0.110863
532,0.0558594
533,0.113449
534,0.0396258
535,0.10925
536,0.117543
537,0.0196972
538,0.210065
539,0.0409593
540,0.226822
541,0.0180347
542,0.0785087
543,0.044493
544,0.0778194
545,0.0627971
546,0.14497
547,0.0881188
548,0.0842412
549,0.0723616
550,0.0249176
551,0.0469637
552,0.0499799
553,0.0399167
554,0.129969
555,0.0287967
556,0.076428
557,0.0390828
558,0.0490243
559,0.0692109
560,0.12595
561,0.104484
562,0.0355761
563,0.136044
564,0.109212
565,0.0355667
566,0.150208
567,0.0377264
568,0.141264
569,0.081301
570,0.190751
571,0.100693
572,0.124867
573,0.0425876
574,0.0516484
575,0.128922
576,0.094612
577,0.121934
578,0.125314
579,0.0488552
580,0.0848213
581,0.00702728
582,0.103706
583,0.0806407
584,0.018428
585,0.102566
586,0.0425308
587,0.0250066
588,0.0615634
589,0.0919195
590,0.0563716
591,0.0492042
592,0.0264942
593,0.0713051
594,0.0982772
595,0.100102
596,0.0417098
597,0.107688
598,0.060528
599,0.00898979
600,0.02843
601,0.0698164
602,0.160953
603,0.102111
604,0.0677502
605,0.0131327
606,0.0923745
607,0.0903497
608,0.0397887
609,0.123523
610,0.0475739
611,0.0571707
612,0.0431705
613,0.0855928
614,0.134355
615,0.0898819
616,0.115818
617,0.093042
618,0.0543348
619,0.0525352
620,0.213817
621,0.0655819
622,0.0972881
623,0.0691547
624,0.110776
625,0.161303
626,0.0642954
627,0.0636427
628,0.0406878
629,0.0831171
630,0.0460567
631,0.0523438
632,0.0149761
633,0.0801729
634,0.0499767
635,0.0692604
636,0.120025
637,0.0719883
638,0.0481849
639,0.0696011
640,0.031024
641,0.0550034
642,0.0881931
643,0.129509
644,0.0704838
645,0.0571914
646,0.0067781
647,0.0584371
648,0.0209093
649,0.112761
650,0.117037
651,0.038642
652,0.102305
653,0.113816
654,0.0830163
655,0.124238
656,0.142309
657,0.0918322
658,0.149637
659,0.0616685
660,0.0649762
661,0.0820973
662,0.0791904
663,0.0869047
664,0.117538
665,0.0498264
666,0.103133
667,0.0287699
668,0.141065
669,0.0673153
670,0.106358
671,0.0583735
672,0.0693941
673,0.0504349
674,0.0699554
675,0.115803
676,0.0781858
677,0.136593
678,0.0792166
679,0.0885088
680,0.14442
681,0.121671
682,0.0934786
683,0.0701354
684,0.0461933
685,0.0103868
686,0.0886902
687,0.0108802
688,0.0491894
689,0.0695384
690,0.0598432
691,0.147204
692,0.0776529
693,0.0616774
694,0.146169
695,0.139788
696,0.0367762
697,0.00278496
698,0.110491
699,0.105791
700,0.158724
701,0.091766
702,0.0286696
703,0.135146
704,0.0860142
705,0.0224209
706,0.0094274
707,0.0286811
708,0.12457
709,0.136666
710,0.106065
711,0.0933278
712,0.0803331
713,0.154182
714,0.0385706
715,0.106913
716,0.0430517
717,0.0560672
718,0.0719107
719,0.104841
720,0.0795062
721,0.0695013
722,0.0874292
723,0.0533299
724,0.0415812
725,0.116195
726,0.0634339
727,0.0742019
728,0.0411999
729,0.0294661
730,0.0861579
731,0.0885291
732,0.01268
733,0.0580086
734,0.0851377
735,0.0766597
736,0.173783
737,0.052165
738,0.0189072
739,0.0294681
740,0.012783
741,0.00870699
742,0.0314307
743,0.0528291
744,0.044971
745,0.0350255
746,0.0538722
747,0.0325988
748,0.0593916
749,0.101775
750,0.112278
751,0.0762621
752,0.0349961
753,0.0927139
754,0.1625
755,0.0452373
756,0.0618854
757,0.0363808
758,0.0592598
759,0.0345332
760,0.176336
761,0.0614013
762,0.111578
763,0.0387221
764,0.100377
765,0.147459
766,0.0959708
767,0.0865793
768,0.0463082
769,0.0775749
770,0.0639107
771,0.0628243
772,0.172932
773,0.101937
774,0.0524786
775,0.0372858
776,0.114661
777,0.0393089
778,0.15712
779,0.0944086
780,0.106109
781,0.0636285
782,0.0735508
783,0.0317238
784,0.0529747
785,0.0409868
786,0.118609
787,0.0371407
788,0.0664157
789,0.0752726
790,0.103265
791,0.0933121
792,0.0987107
793,0.100974
794,0.0992299
795,0.0667848
796,0.0543313
797,0.0342033
798,0.0553252
799,0.0780127
800,0.0434268
801,0.0906592
802,0.18645
803,0.0367209
804,0.0485684
805,0.0842647
806,0.0803725
807,0.167698
808,0.0677146
809,0.0512202
810,0.0628814
811,0.0611687
812,0.0560769
813,0.139962
814,0.0658138
815,0.0586545
816,0.0401817
817,0.0930718
818,0.0423516
819,0.202425
820,0.0233775
821,0.0254888
822,0.0418671
823,0.0335559
824,0.0441667
825,0.0780824
826,0.0533632
827,0.0681804
828,0.0647517
829,0.0549456
830,0.0290676
831,0.0719671
832,0.0518305
833,0.0430911
834,0.0189534
835,0.0473158
836,0.0206906
837,0.0444483
838,0.111101
839,0.0920348
840,0.0993282
841,0.161687
842,0.101013
843,0.0787405
844,0.0931085
845,0.128293
846,0.0693199
847,0.138336
848,0.0259289
849,0.0516288
850,0.096301
851,0.0534833
852,0.0600237
853,0.0944482
854,0.0961457
855,0.042674
856,0.0959706
857,0.176569
858,0.0879892
859,0.0437333
860,0.159282
861,0.0276186
862,0.0443991
863,0.107714
864,0.0593796
865,0.12549
866,0.0243648
867,0.0851055
868,0.111016
869,0.078414
870,0.0890421
871,0.0770529
872,0.0403875
873,0.103116
874,0.10015
875,0.0997035
876,0.124324
877,0.0494587
878,0.152606
879,0.14279
880,0.114028
881,0.053329
882,0.0843655
883,0.125322
884,0.204184
885,0.047078
886,0.0611105
887,0.0685056
888,0.091686
889,0.103398
890,0.0664494
891,0.0380315
892,0.0329568
893,0.0780812
894,0.0977339
895,0.0421253
896,0.172175
897,0.0960204
898,0.136359
899,0.103686
900,0.0725146
901,0.0748691
902,0.0395388
903,0.0584492
904,0.0614965
905,0.115726
906,0.0354774
907,0.0341097
908,0.0397741
909,0.109685
910,0.109597
911,0.0713733
912,0.0590921
913,0.147709
914,0.0781586
915,0.057031
916,0.0766928
917,0.0417965
918,0.0630919
919,0.126368
920,0.0922927
921,0.148393
922,0.0711318
923,0.104294
924,0.0444969
925,0.0264817
926,0.109008
927,0.0727263
928,0.065902
929,0.0716441
930,0.0875903
