Frequency Index - Plot 0,Magnitude - Plot 0
0,324.413
1,0.435844
2,2.40883
3,0.450946
4,1.55844
5,0.601952
6,1.25535
7,0.746239
8,0.797435
9,0.766017
10,0.469578
11,0.643383
12,0.311041
13,0.174292
14,0.589872
15,0.125917
16,0.146676
17,0.104737
18,0.0332816
19,0.0961754
20,0.311215
21,0.150772
22,0.135101
23,0.258955
24,0.41362
25,0.133698
26,0.229891
27,0.117917
28,0.122208
29,0.135192
30,0.326463
31,0.182682
32,0.36544
33,0.236797
34,0.136171
35,0.155511
36,0.0436997
37,0.134754
38,0.154329
39,0.0863131
40,0.123401
41,0.0244548
42,0.199076
43,0.0998938
44,0.329802
45,0.100428
46,0.0996895
47,0.126824
48,0.229741
49,0.102193
50,0.224813
51,0.140316
52,0.317726
53,0.040468
54,0.101819
55,0.20878
56,0.150759
57,0.192949
58,0.0693809
59,0.0803005
60,0.114763
61,0.0571007
62,0.150086
63,0.128429
64,0.167672
65,0.185237
66,0.0841959
67,0.110145
68,0.0327073
69,0.119267
70,0.178326
71,0.200031
72,0.107964
73,0.13474
74,0.194479
75,0.292066
76,0.159888
77,0.159072
78,0.105352
79,0.17853
80,0.0908317
81,0.180315
82,0.217539
83,0.151816
84,0.0263438
85,0.174238
86,0.199463
87,0.258391
88,0.112706
89,0.0304166
90,0.0850534
91,0.034499
92,0.191866
93,0.0954201
94,0.14323
95,0.110126
96,0.0808232
97,0.0733857
98,0.230451
99,0.055707
100,0.218929
101,0.0810423
102,0.151433
103,0.108891
104,0.21249
105,0.0476307
106,0.173544
107,0.0471663
108,0.0799656
109,0.104951
110,0.0122366
111,0.0966216
112,0.0951836
113,0.0499103
114,0.136833
115,0.109664
116,0.060173
117,0.142007
118,0.0929357
119,0.133248
120,0.153806
121,0.093526
122,0.210363
123,0.266857
124,0.0680388
125,0.121791
126,0.115726
127,0.0703403
128,0.184519
129,0.13324
130,0.130559
131,0.0924246
132,0.145373
133,0.127131
134,0.135968
135,0.113535
136,0.102492
137,0.0919581
138,0.181497
139,0.123632
140,0.0824159
141,0.0977323
142,0.175948
143,0.0910979
144,0.229918
145,0.091581
146,0.0221431
147,0.15282
148,0.257355
149,0.187009
150,0.11127
151,0.133049
152,0.0169709
153,0.274198
154,0.0807025
155,0.0783525
156,0.129849
157,0.145216
158,0.183325
159,0.00966406
160,0.165492
161,0.148607
162,0.186483
163,0.0575088
164,0.138114
165,0.209876
166,0.0143938
167,0.287264
168,0.127338
169,0.270273
170,0.262341
171,0.217057
172,0.0981631
173,0.381845
174,0.188337
175,0.0682529
176,0.202628
177,0.350859
178,0.154271
179,0.421721
180,0.0311285
181,0.369742
182,0.145399
183,0.701046
184,0.39237
185,0.342112
186,0.58479
187,0.381762
188,0.376481
189,0.150863
190,0.317423
191,0.634649
192,0.640248
193,0.666239
194,0.584668
195,0.668638
196,0.959395
197,1.246
198,2.00057
199,4.12662
200,917.754
201,4.14056
202,1.98434
203,1.39007
204,1.05353
205,0.858195
206,0.649176
207,0.425482
208,0.431487
209,0.336289
210,0.490971
211,0.571267
212,0.355322
213,0.287622
214,0.229315
215,0.337973
216,0.329547
217,0.419379
218,0.169846
219,0.412494
220,0.327519
221,0.0434754
222,0.208221
223,0.0991422
224,0.465034
225,0.300325
226,0.264165
227,0.266919
228,0.523265
229,0.0574852
230,0.0510227
231,0.131918
232,0.198779
233,0.204263
234,0.275398
235,0.303989
236,0.290264
237,0.0559849
238,0.158922
239,0.165293
240,0.176819
241,0.190654
242,0.206694
243,0.0876528
244,0.231214
245,0.16352
246,0.226402
247,0.126838
248,0.120405
249,0.175937
250,0.185087
251,0.117473
252,0.0396639
253,0.123779
254,0.103085
255,0.200447
256,0.123324
257,0.147197
258,0.197186
259,0.171486
260,0.145898
261,0.131364
262,0.0438409
263,0.188451
264,0.112217
265,0.058829
266,0.0322991
267,0.121506
268,0.0529591
269,0.102558
270,0.140305
271,0.160131
272,0.224257
273,0.187825
274,0.237825
275,0.0352509
276,0.204254
277,0.0984042
278,0.0909314
279,0.0452785
280,0.137001
281,0.153205
282,0.115375
283,0.180957
284,0.17641
285,0.188487
286,0.104023
287,0.169679
288,0.170974
289,0.169699
290,0.17704
291,0.168501
292,0.138592
293,0.109647
294,0.0330591
295,0.109984
296,0.129037
297,0.116207
298,0.0774042
299,0.055828
300,0.238602
301,0.0608592
302,0.0815466
303,0.0745993
304,0.123715
305,0.0765197
306,0.197884
307,0.133266
308,0.334283
309,0.173139
310,0.0771408
311,0.0892347
312,0.243263
313,0.208092
314,0.137621
315,0.0679505
316,0.199503
317,0.182837
318,0.25315
319,0.188604
320,0.142948
321,0.0890573
322,0.018657
323,0.0588165
324,0.106761
325,0.133841
326,0.0173933
327,0.0564507
328,0.127257
329,0.0857319
330,0.0591316
331,0.139702
332,0.0331563
333,0.0765223
334,0.0545452
335,0.0894635
336,0.17491
337,0.242873
338,0.0798149
339,0.102706
340,0.0871249
341,0.106254
342,0.041236
343,0.0843238
344,0.104849
345,0.0338925
346,0.200858
347,0.122785
348,0.105571
349,0.122913
350,0.145621
351,0.1994
352,0.133056
353,0.0420119
354,0.0236427
355,0.282469
356,0.142446
357,0.114469
358,0.0279369
359,0.10461
360,0.0219522
361,0.129536
362,0.281735
363,0.104605
364,0.110501
365,0.055615
366,0.15193
367,0.133962
368,0.158567
369,0.020459
370,0.0919105
371,0.142281
372,0.110215
373,0.10684
374,0.0695911
375,0.219431
376,0.00967989
377,0.176877
378,0.0564042
379,0.15481
380,0.194274
381,0.0303512
382,0.0477715
383,0.0506751
384,0.0476014
385,0.111042
386,0.0271672
387,0.0772903
388,0.186681
389,0.190086
390,0.0785361
391,0.170053
392,0.108226
393,0.201058
394,0.119692
395,0.270924
396,0.181125
397,0.211552
398,0.05992
399,0.213808
400,0.133771
401,0.081873
402,0.22749
403,0.0838204
404,0.0917162
405,0.0359312
406,0.0923796
407,0.231686
408,0.0998861
409,0.0811882
410,0.0388137
411,0.0679351
412,0.0287091
413,0.132667
414,0.188012
415,0.0432924
416,0.207085
417,0.064851
418,0.0293854
419,0.0842762
420,0.185061
421,0.170776
422,0.126245
423,0.0716748
424,0.104502
425,0.0853671
426,0.115821
427,0.0494692
428,0.189544
429,0.219639
430,0.0772083
431,0.125775
432,0.219666
433,0.059607
434,0.143001
435,0.0805001
436,0.053682
437,0.0361584
438,0.163178
439,0.0307237
440,0.0643761
441,0.148366
442,0.151804
443,0.159609
444,0.130845
445,0.0422342
446,0.0152633
447,0.117344
448,0.0918614
449,0.122815
450,0.0607169
451,0.068957
452,0.145226
453,0.0808445
454,0.0764527
455,0.156789
456,0.237895
457,0.112324
458,0.109324
459,0.0216023
460,0.127794
461,0.0647753
462,0.0944498
463,0.154066
464,0.0528436
465,0.0711736
466,0.0319002
467,0.156494
468,0.202795
469,0.217311
470,0.126153
471,0.112252
472,0.0580646
473,0.194772
474,0.0616765
475,0.101065
476,0.0541752
477,0.18007
478,0.112828
479,0.0380811
480,0.354561
481,0.0657025
482,0.222114
483,0.19853
484,0.112851
485,0.0463101
486,0.0889679
487,0.10114
488,0.121929
489,0.112961
490,0.100118
491,0.124439
492,0.10788
493,0.111138
494,0.106538
495,0.0357248
496,0.0761952
497,0.0055598
498,0.136528
499,0.0874839
500,0.253509
501,0.0939075
502,0.140665
503,0.0618964
504,0.137737
505,0.144945
506,0.182795
507,0.177235
508,0.0790193
509,0.0701211
510,0.160483
511,0.0749836
512,0.0615236
513,0.0429471
514,0.0969145
515,0.104897
516,0.15645
517,0.0661156
518,0.054714
519,0.0573882
520,0.129873
521,0.126424
522,0.0103283
523,0.140065
524,0.0415343
525,0.144951
526,0.066299
527,0.093358
528,0.156494
529,0.068045
530,0.20602
531,0.099207
532,0.161686
533,0.0331539
534,0.0306406
535,0.0761266
536,0.0828747
