Frequency Index - Plot 0,Magnitude - Plot 0
0,157.289
1,0.553542
2,0.592528
3,0.26208
4,0.796501
5,0.618102
6,0.0981102
7,0.321238
8,0.155445
9,0.25852
10,0.101666
11,0.122903
12,0.116112
13,0.12473
14,0.102282
15,0.173677
16,0.0483986
17,0.103134
18,0.0321526
19,0.00741848
20,0.194643
21,0.0774707
22,0.0985038
23,0.112051
24,0.0332696
25,0.199722
26,0.155457
27,0.078213
28,0.077208
29,0.0543631
30,0.12828
31,0.0467523
32,0.0809131
33,0.0558524
34,0.136762
35,0.135613
36,0.0883632
37,0.129635
38,0.0571415
39,0.113184
40,0.0844933
41,0.044669
42,0.0902782
43,0.0977297
44,0.140502
45,0.0738897
46,0.0770528
47,0.118405
48,0.0682207
49,0.0953098
50,0.133185
51,0.170333
52,0.0728459
53,0.0803439
54,0.0254472
55,0.0461985
56,0.00950606
57,0.277407
58,0.0212332
59,0.0345856
60,0.191145
61,0.0993985
62,0.0714493
63,0.0511445
64,0.0690457
65,0.153469
66,0.11306
67,0.0845442
68,0.0506147
69,0.0799139
70,0.0256331
71,0.154829
72,0.0541818
73,0.100403
74,0.110323
75,0.0637759
76,0.0430415
77,0.0539557
78,0.146801
79,0.0983952
80,0.0621331
81,0.0856887
82,0.0719969
83,0.0351586
84,0.0484463
85,0.0426942
86,0.0852724
87,0.0771488
88,0.0958335
89,0.0727145
90,0.0249738
91,0.11462
92,0.102069
93,0.251724
94,0.0323253
95,0.0915738
96,0.0671246
97,0.138345
98,0.0744615
99,0.119657
100,0.177647
101,0.107071
102,0.0559773
103,0.0891513
104,0.073217
105,0.0599281
106,0.0225872
107,0.0519613
108,0.0264327
109,0.0521101
110,0.114859
111,0.104777
112,0.0812676
113,0.0804061
114,0.192354
115,0.0780442
116,0.0323059
117,0.236167
118,0.0357843
119,0.12178
120,0.109141
121,0.0973336
122,0.159699
123,0.103744
124,0.111221
125,0.162946
126,0.133305
127,0.0773482
128,0.0602152
129,0.112993
130,0.0535192
131,0.17533
132,0.0317706
133,0.134463
134,0.037624
135,0.124169
136,0.115401
137,0.164196
138,0.178752
139,0.0233645
140,0.0857449
141,0.0246858
142,0.0459542
143,0.0706963
144,0.0413989
145,0.0777468
146,0.170551
147,0.145578
148,0.0869982
149,0.104475
150,0.104566
151,0.121624
152,0.123718
153,0.12297
154,0.0747848
155,0.170982
156,0.111535
157,0.105776
158,0.090335
159,0.0823228
160,0.063274
161,0.091577
162,0.10398
163,0.151358
164,0.0495827
165,0.126039
166,0.0671595
167,0.114031
168,0.219541
169,0.116525
170,0.0569672
171,0.11699
172,0.189221
173,0.126595
174,0.218894
175,0.153122
176,0.0276941
177,0.257319
178,0.0986683
179,0.251706
180,0.193654
181,0.233909
182,0.172737
183,0.0841678
184,0.15087
185,0.104912
186,0.179626
187,0.137116
188,0.203289
189,0.0837732
190,0.123101
191,0.192343
192,0.267161
193,0.217504
194,0.367159
195,0.423273
196,0.578994
197,0.533176
198,1.02824
199,1.988
200,458.657
201,2.03476
202,1.03541
203,0.657952
204,0.369623
205,0.455601
206,0.345517
207,0.3191
208,0.266503
209,0.10579
210,0.259466
211,0.322639
212,0.222387
213,0.187981
214,0.266206
215,0.0481683
216,0.0900606
217,0.154391
218,0.102201
219,0.141791
220,0.158444
221,0.0886856
222,0.133538
223,0.109206
224,0.115518
225,0.195305
226,0.0309433
227,0.158379
228,0.184372
229,0.0540093
230,0.0932437
231,0.114549
232,0.15443
233,0.0341201
234,0.0526577
235,0.0637729
236,0.0839022
237,0.0417378
238,0.117463
239,0.0957425
240,0.269794
241,0.0906105
242,0.030625
243,0.0647393
244,0.0499967
245,0.0938329
246,0.0841261
247,0.0608911
248,0.0760017
249,0.0716186
250,0.194781
251,0.0920199
252,0.113899
253,0.032718
254,0.0820559
255,0.0863447
256,0.14633
257,0.10433
258,0.11906
259,0.0531694
260,0.0550683
261,0.144187
262,0.0839931
263,0.0939788
264,0.027946
265,0.101308
266,0.117792
267,0.100909
268,0.0622824
269,0.0365834
270,0.0837273
271,0.0974213
272,0.0836165
273,0.0819123
274,0.0645791
275,0.103973
276,0.0578299
277,0.0664957
278,0.0865302
279,0.0535274
280,0.238686
281,0.0203805
282,0.0492099
283,0.0684924
284,0.0817852
285,0.0902384
286,0.0218271
287,0.0665263
288,0.0653528
289,0.0327836
290,0.0769161
291,0.153092
292,0.0762269
293,0.0812914
294,0.0686814
295,0.11174
296,0.117853
297,0.110655
298,0.100335
299,0.0825601
300,0.156571
301,0.171468
302,0.120472
303,0.0432467
304,0.0731494
305,0.140933
306,0.0450748
307,0.140561
308,0.0714013
309,0.108225
310,0.138728
311,0.056863
312,0.127177
313,0.0287761
314,0.10949
315,0.0275629
316,0.072265
317,0.0687228
318,0.0306275
319,0.0458936
320,0.100092
321,0.073164
322,0.0562533
323,0.0561612
324,0.0589515
325,0.0333291
326,0.067314
327,0.031249
328,0.0191223
329,0.0123809
330,0.0976158
331,0.0320309
332,0.0726409
333,0.043944
334,0.107709
335,0.0212697
336,0.113776
337,0.0803663
338,0.0712943
339,0.10382
340,0.0943897
341,0.0796758
342,0.0875719
343,0.0374139
344,0.0897119
345,0.0687247
346,0.0872512
347,0.0229494
348,0.0412657
349,0.0489275
350,0.00397039
351,0.0943342
352,0.0629856
353,0.0918392
354,0.0725611
355,0.0952813
356,0.0558192
357,0.0301022
358,0.0593533
359,0.0637462
360,0.0680425
361,0.0619082
362,0.0585502
363,0.0494144
364,0.0131863
365,0.0529174
366,0.0236456
367,0.153778
368,0.0552461
369,0.0472745
370,0.04217
371,0.161111
